"TIME","GEO","CITIZEN","UNIT","Value"
"1999M11","Greece","Total","Person","160"
"1999M11","Spain","Total","Person","575"
"1999M11","France","Total","Person","2,975"
"1999M11","Italy","Total","Person",":"
"1999M11","Cyprus","Total","Person",":"
"1999M11","Latvia","Total","Person",":"
"1999M11","Lithuania","Total","Person",":"
"1999M11","Luxembourg","Total","Person","90"
"1999M11","Hungary","Total","Person",":"
"1999M11","Malta","Total","Person",":"
"1999M11","Netherlands","Total","Person","3,905"
"1999M11","Austria","Total","Person","1,830"
"1999M11","Poland","Total","Person",":"
"1999M11","Portugal","Total","Person","15"
"1999M11","Romania","Total","Person",":"
"1999M11","Slovenia","Total","Person",":"
"1999M11","Slovakia","Total","Person",":"
"1999M11","Finland","Total","Person","235"
"1999M11","Sweden","Total","Person","930"
"1999M11","United Kingdom","Total","Person","6,420"
"1999M11","Iceland","Total","Person",":"
"1999M11","Norway","Total","Person",":"
"1999M11","Turkey","Total","Person",":"
"1999M12","European Union - 15 countries (1995-2004)","Total","Person",":"
"1999M12","Belgium","Total","Person","4,690"
"1999M12","Bulgaria","Total","Person",":"
"1999M12","Czechia","Total","Person",":"
"1999M12","Denmark","Total","Person","485"
"1999M12","Germany (until 1990 former territory of the FRG)","Total","Person","7,090"
"1999M12","Estonia","Total","Person",":"
"1999M12","Ireland","Total","Person","1,215"
"1999M12","Greece","Total","Person","80"
"1999M12","Spain","Total","Person","545"
"1999M12","France","Total","Person","3,160"
"1999M12","Italy","Total","Person",":"
"1999M12","Cyprus","Total","Person",":"
"1999M12","Latvia","Total","Person",":"
"1999M12","Lithuania","Total","Person",":"
"1999M12","Luxembourg","Total","Person","45"
"1999M12","Hungary","Total","Person",":"
"1999M12","Malta","Total","Person",":"
"1999M12","Netherlands","Total","Person","3,925"
"1999M12","Austria","Total","Person","1,600"
"1999M12","Poland","Total","Person",":"
"1999M12","Portugal","Total","Person","20"
"1999M12","Romania","Total","Person",":"
"1999M12","Slovenia","Total","Person",":"
"1999M12","Slovakia","Total","Person",":"
"1999M12","Finland","Total","Person","510"
"1999M12","Sweden","Total","Person","1,230"
"1999M12","United Kingdom","Total","Person","7,180"
"1999M12","Iceland","Total","Person",":"
"1999M12","Norway","Total","Person",":"
"1999M12","Turkey","Total","Person",":"
"2000M01","European Union - 15 countries (1995-2004)","Total","Person",":"
"2000M01","Belgium","Total","Person","2,895"
"2000M01","Bulgaria","Total","Person",":"
"2000M01","Czechia","Total","Person",":"
"2000M01","Denmark","Total","Person","740"
"2000M01","Germany (until 1990 former territory of the FRG)","Total","Person","6,620"
"2000M01","Estonia","Total","Person",":"
"2000M01","Ireland","Total","Person","975"
"2000M01","Greece","Total","Person","150"
"2000M01","Spain","Total","Person","565"
"2000M01","France","Total","Person","3,275"
"2000M01","Italy","Total","Person","1,490"
"2000M01","Cyprus","Total","Person",":"
"2000M01","Latvia","Total","Person",":"
"2000M01","Lithuania","Total","Person",":"
"2000M01","Luxembourg","Total","Person","50"
"2000M01","Hungary","Total","Person",":"
"2000M01","Malta","Total","Person",":"
"2000M01","Netherlands","Total","Person","4,120"
"2000M01","Austria","Total","Person","1,335"
"2000M01","Poland","Total","Person",":"
"2000M01","Portugal","Total","Person","20"
"2000M01","Romania","Total","Person",":"
"2000M01","Slovenia","Total","Person",":"
"2000M01","Slovakia","Total","Person",":"
"2000M01","Finland","Total","Person","410"
"2000M01","Sweden","Total","Person","980"
"2000M01","United Kingdom","Total","Person","6,110"
"2000M01","Iceland","Total","Person",":"
"2000M01","Norway","Total","Person",":"
"2000M01","Turkey","Total","Person",":"
"2000M02","European Union - 15 countries (1995-2004)","Total","Person",":"
"2000M02","Belgium","Total","Person","2,385"
"2000M02","Bulgaria","Total","Person",":"
"2000M02","Czechia","Total","Person",":"
"2000M02","Denmark","Total","Person","1,090"
"2000M02","Germany (until 1990 former territory of the FRG)","Total","Person","6,115"
"2000M02","Estonia","Total","Person",":"
"2000M02","Ireland","Total","Person","865"
"2000M02","Greece","Total","Person","210"
"2000M02","Spain","Total","Person","680"
"2000M02","France","Total","Person","3,610"
"2000M02","Italy","Total","Person","995"
"2000M02","Cyprus","Total","Person",":"
"2000M02","Latvia","Total","Person",":"
"2000M02","Lithuania","Total","Person",":"
"2000M02","Luxembourg","Total","Person","40"
"2000M02","Hungary","Total","Person",":"
"2000M02","Malta","Total","Person",":"
"2000M02","Netherlands","Total","Person","3,835"
"2000M02","Austria","Total","Person","1,310"
"2000M02","Poland","Total","Person",":"
"2000M02","Portugal","Total","Person","15"
"2000M02","Romania","Total","Person",":"
"2000M02","Slovenia","Total","Person",":"
"2000M02","Slovakia","Total","Person",":"
"2000M02","Finland","Total","Person","285"
"2000M02","Sweden","Total","Person","945"
"2000M02","United Kingdom","Total","Person","6,105"
"2000M02","Iceland","Total","Person",":"
"2000M02","Norway","Total","Person",":"
"2000M02","Turkey","Total","Person",":"
"2000M03","European Union - 15 countries (1995-2004)","Total","Person",":"
"2000M03","Belgium","Total","Person","2,530"
"2000M03","Bulgaria","Total","Person",":"
"2000M03","Czechia","Total","Person",":"
"2000M03","Denmark","Total","Person","1,300"
"2000M03","Germany (until 1990 former territory of the FRG)","Total","Person","6,205"
"2000M03","Estonia","Total","Person",":"
"2000M03","Ireland","Total","Person","970"
"2000M03","Greece","Total","Person","355"
"2000M03","Spain","Total","Person","650"
"2000M03","France","Total","Person","3,755"
"2000M03","Italy","Total","Person","1,080"
"2000M03","Cyprus","Total","Person",":"
"2000M03","Latvia","Total","Person",":"
"2000M03","Lithuania","Total","Person",":"
"2000M03","Luxembourg","Total","Person","85"
"2000M03","Hungary","Total","Person",":"
"2000M03","Malta","Total","Person",":"
"2000M03","Netherlands","Total","Person","3,570"
"2000M03","Austria","Total","Person","1,130"
"2000M03","Poland","Total","Person",":"
"2000M03","Portugal","Total","Person","20"
"2000M03","Romania","Total","Person",":"
"2000M03","Slovenia","Total","Person",":"
"2000M03","Slovakia","Total","Person",":"
"2000M03","Finland","Total","Person","245"
"2000M03","Sweden","Total","Person","1,090"
"2000M03","United Kingdom","Total","Person","6,680"
"2000M03","Iceland","Total","Person",":"
"2000M03","Norway","Total","Person",":"
"2000M03","Turkey","Total","Person",":"
"2000M04","European Union - 15 countries (1995-2004)","Total","Person",":"
"2000M04","Belgium","Total","Person","2,545"
"2000M04","Bulgaria","Total","Person",":"
"2000M04","Czechia","Total","Person",":"
"2000M04","Denmark","Total","Person","500"
"2000M04","Germany (until 1990 former territory of the FRG)","Total","Person","5,000"
"2000M04","Estonia","Total","Person",":"
"2000M04","Ireland","Total","Person","1,035"
"2000M04","Greece","Total","Person","95"
"2000M04","Spain","Total","Person","585"
"2000M04","France","Total","Person","2,825"
"2000M04","Italy","Total","Person","1,045"
"2000M04","Cyprus","Total","Person",":"
"2000M04","Latvia","Total","Person",":"
"2000M04","Lithuania","Total","Person",":"
"2000M04","Luxembourg","Total","Person","60"
"2000M04","Hungary","Total","Person",":"
"2000M04","Malta","Total","Person",":"
"2000M04","Netherlands","Total","Person","3,100"
"2000M04","Austria","Total","Person","1,115"
"2000M04","Poland","Total","Person",":"
"2000M04","Portugal","Total","Person","15"
"2000M04","Romania","Total","Person",":"
"2000M04","Slovenia","Total","Person",":"
"2000M04","Slovakia","Total","Person",":"
"2000M04","Finland","Total","Person","295"
"2000M04","Sweden","Total","Person","880"
"2000M04","United Kingdom","Total","Person","5,890"
"2000M04","Iceland","Total","Person",":"
"2000M04","Norway","Total","Person",":"
"2000M04","Turkey","Total","Person",":"
"2000M05","European Union - 15 countries (1995-2004)","Total","Person",":"
"2000M05","Belgium","Total","Person","2,850"
"2000M05","Bulgaria","Total","Person",":"
"2000M05","Czechia","Total","Person",":"
"2000M05","Denmark","Total","Person","775"
"2000M05","Germany (until 1990 former territory of the FRG)","Total","Person","6,315"
"2000M05","Estonia","Total","Person",":"
"2000M05","Ireland","Total","Person","800"
"2000M05","Greece","Total","Person","290"
"2000M05","Spain","Total","Person","645"
"2000M05","France","Total","Person","3,045"
"2000M05","Italy","Total","Person","1,300"
"2000M05","Cyprus","Total","Person",":"
"2000M05","Latvia","Total","Person",":"
"2000M05","Lithuania","Total","Person",":"
"2000M05","Luxembourg","Total","Person","40"
"2000M05","Hungary","Total","Person",":"
"2000M05","Malta","Total","Person",":"
"2000M05","Netherlands","Total","Person","3,050"
"2000M05","Austria","Total","Person","1,500"
"2000M05","Poland","Total","Person",":"
"2000M05","Portugal","Total","Person","15"
"2000M05","Romania","Total","Person",":"
"2000M05","Slovenia","Total","Person",":"
"2000M05","Slovakia","Total","Person",":"
"2000M05","Finland","Total","Person","270"
"2000M05","Sweden","Total","Person","945"
"2000M05","United Kingdom","Total","Person","6,185"
"2000M05","Iceland","Total","Person",":"
"2000M05","Norway","Total","Person",":"
"2000M05","Turkey","Total","Person",":"
"2000M06","European Union - 15 countries (1995-2004)","Total","Person",":"
"2000M06","Belgium","Total","Person","2,760"
"2000M06","Bulgaria","Total","Person",":"
"2000M06","Czechia","Total","Person",":"
"2000M06","Denmark","Total","Person","830"
"2000M06","Germany (until 1990 former territory of the FRG)","Total","Person","5,745"
"2000M06","Estonia","Total","Person",":"
"2000M06","Ireland","Total","Person","675"
"2000M06","Greece","Total","Person","195"
"2000M06","Spain","Total","Person","600"
"2000M06","France","Total","Person","2,915"
"2000M06","Italy","Total","Person","835"
"2000M06","Cyprus","Total","Person",":"
"2000M06","Latvia","Total","Person",":"
"2000M06","Lithuania","Total","Person",":"
"2000M06","Luxembourg","Total","Person","75"
"2000M06","Hungary","Total","Person",":"
"2000M06","Malta","Total","Person",":"
"2000M06","Netherlands","Total","Person","3,365"
"2000M06","Austria","Total","Person","1,635"
"2000M06","Poland","Total","Person",":"
"2000M06","Portugal","Total","Person","25"
"2000M06","Romania","Total","Person",":"
"2000M06","Slovenia","Total","Person",":"
"2000M06","Slovakia","Total","Person",":"
"2000M06","Finland","Total","Person","345"
"2000M06","Sweden","Total","Person","875"
"2000M06","United Kingdom","Total","Person","5,900"
"2000M06","Iceland","Total","Person",":"
"2000M06","Norway","Total","Person",":"
"2000M06","Turkey","Total","Person",":"
"2000M07","European Union - 15 countries (1995-2004)","Total","Person",":"
"2000M07","Belgium","Total","Person","3,185"
"2000M07","Bulgaria","Total","Person",":"
"2000M07","Czechia","Total","Person",":"
"2000M07","Denmark","Total","Person","910"
"2000M07","Germany (until 1990 former territory of the FRG)","Total","Person","6,530"
"2000M07","Estonia","Total","Person",":"
"2000M07","Ireland","Total","Person","775"
"2000M07","Greece","Total","Person","380"
"2000M07","Spain","Total","Person","460"
"2000M07","France","Total","Person","3,110"
"2000M07","Italy","Total","Person","365"
"2000M07","Cyprus","Total","Person",":"
"2000M07","Latvia","Total","Person",":"
"2000M07","Lithuania","Total","Person",":"
"2000M07","Luxembourg","Total","Person","30"
"2000M07","Hungary","Total","Person",":"
"2000M07","Malta","Total","Person",":"
"2000M07","Netherlands","Total","Person","3,700"
"2000M07","Austria","Total","Person","1,870"
"2000M07","Poland","Total","Person",":"
"2000M07","Portugal","Total","Person","30"
"2000M07","Romania","Total","Person",":"
"2000M07","Slovenia","Total","Person",":"
"2000M07","Slovakia","Total","Person",":"
"2000M07","Finland","Total","Person","445"
"2000M07","Sweden","Total","Person","1,105"
"2000M07","United Kingdom","Total","Person","6,255"
"2000M07","Iceland","Total","Person",":"
"2000M07","Norway","Total","Person",":"
"2000M07","Turkey","Total","Person",":"
"2000M08","European Union - 15 countries (1995-2004)","Total","Person",":"
"2000M08","Belgium","Total","Person","4,445"
"2000M08","Bulgaria","Total","Person",":"
"2000M08","Czechia","Total","Person",":"
"2000M08","Denmark","Total","Person","865"
"2000M08","Germany (until 1990 former territory of the FRG)","Total","Person","7,505"
"2000M08","Estonia","Total","Person",":"
"2000M08","Ireland","Total","Person","920"
"2000M08","Greece","Total","Person","215"
"2000M08","Spain","Total","Person","590"
"2000M08","France","Total","Person","3,230"
"2000M08","Italy","Total","Person","220"
"2000M08","Cyprus","Total","Person",":"
"2000M08","Latvia","Total","Person",":"
"2000M08","Lithuania","Total","Person",":"
"2000M08","Luxembourg","Total","Person","40"
"2000M08","Hungary","Total","Person",":"
"2000M08","Malta","Total","Person",":"
"2000M08","Netherlands","Total","Person","3,995"
"2000M08","Austria","Total","Person","1,595"
"2000M08","Poland","Total","Person",":"
"2000M08","Portugal","Total","Person","25"
"2000M08","Romania","Total","Person",":"
"2000M08","Slovenia","Total","Person",":"
"2000M08","Slovakia","Total","Person",":"
"2000M08","Finland","Total","Person","175"
"2000M08","Sweden","Total","Person","1,405"
"2000M08","United Kingdom","Total","Person","6,430"
"2000M08","Iceland","Total","Person",":"
"2000M08","Norway","Total","Person",":"
"2000M08","Turkey","Total","Person",":"
"2000M09","European Union - 15 countries (1995-2004)","Total","Person",":"
"2000M09","Belgium","Total","Person","4,760"
"2000M09","Bulgaria","Total","Person",":"
"2000M09","Czechia","Total","Person",":"
"2000M09","Denmark","Total","Person","795"
"2000M09","Germany (until 1990 former territory of the FRG)","Total","Person","7,165"
"2000M09","Estonia","Total","Person",":"
"2000M09","Ireland","Total","Person","965"
"2000M09","Greece","Total","Person","250"
"2000M09","Spain","Total","Person","495"
"2000M09","France","Total","Person","2,685"
"2000M09","Italy","Total","Person","230"
"2000M09","Cyprus","Total","Person",":"
"2000M09","Latvia","Total","Person",":"
"2000M09","Lithuania","Total","Person",":"
"2000M09","Luxembourg","Total","Person","65"
"2000M09","Hungary","Total","Person",":"
"2000M09","Malta","Total","Person",":"
"2000M09","Netherlands","Total","Person","3,445"
"2000M09","Austria","Total","Person","1,815"
"2000M09","Poland","Total","Person",":"
"2000M09","Portugal","Total","Person","15"
"2000M09","Romania","Total","Person",":"
"2000M09","Slovenia","Total","Person",":"
"2000M09","Slovakia","Total","Person",":"
"2000M09","Finland","Total","Person","145"
"2000M09","Sweden","Total","Person","1,475"
"2000M09","United Kingdom","Total","Person","6,435"
"2000M09","Iceland","Total","Person",":"
"2000M09","Norway","Total","Person",":"
"2000M09","Turkey","Total","Person",":"
